,id,title,author,tags,links
38,20210112111634,"Reserves, Resilience and Dynamic Landscapes"," Janne Bengtsson, Per Angelstam, Thomas Elmqvist, Urban Emanuelsson, Carl Folke, Margareta Ihse, Fredrik Moberg and Magnus Nyström","['literature', 'resilience', 'ecology', 'model']","['20210112105644', '20200326221512']"
39,20200502160451,"Being Salmon, Being Human: Encountering the Wild in Us and Us in the Wild",Martin Lee Mueller,"['literature', 'philosophy', 'resilience', 'environment', 'ecosystemservices', 'toread', 'toread', 'permanent', 'process', 'toread', 'model', 'model', 'toread', 'toread', 'toread', 'writing', 'quote', 'toread', 'toread']","['20200403133729', '20200407085813', '20200330204247']"
40,20201228175115,Exploring the Implications of Critical Complexity for the Study of SES,Audoin et al. 2013,"['literature', 'academia', 'career', 'toread', 'tarot', 'toread']",[]
41,20200326221713,Earth Stalked By Man,Anna Lowenhaupt Tsing,"['literature', 'philosophy', 'anthropology', 'resilience', 'environment', 'disturbance', 'solace', 'anthropocene', 'toread', 'critique', 'toread', 'toread', 'toread']",['20200326221512']
42,20210112105644,Rethinking The Fifth Discipline: Learning Within the unknowable,Robert Flood,"['literature', 'resilience', 'systems']",['20210112105654']
43,20201222220215,Assessing Nature’s Contributions to People,,[],"['20201222221106', '20201222220553']"
44,20200518151032,The Origins of Totalitarianism,Hannah Arendt,"['literature', 'philosophy', 'politicaltheory']",['20200326220830']
45,20210112112609,"Response diversity, ecosystem change, and resilience","Thomas Elmqvist, Carl Folke, Magnus Nyström, Garry Peterson, Jan Bengtsson, Brian Walker, and Jon Norberg","['literature', 'resilience', 'ecology', 'quote', 'model']",[]
46,20200331105258,Learning to Walk in the Dark,Barbara Brown Taylor,"['literature', 'religion', 'solace', 'quote', 'toread', 'toread', 'toread', 'toread', 'quote', 'quote']","['20200326220830', '20200330204247']"
47, 20210119180516,A Network Perspective on Modularity and Control of Flow in Robust Systems,Orjan Bodin,"['literature', 'networks', 'resilience', 'ecology']",[]
48, 20210118212106,Lost Connections,Johann Hari,"['literature', 'mentalhealth', 'solace']",[]
49, 20210118205339,Understanding Relationships Among Ecosystem Services,,[],[]
50,20201228175115,Transdisciplinarity,Lange et al. 2012,"['literature', 'academia', 'career']","['20201228175115', '20201228174926']"
51,20210112112600,Catastrophic Shifts in Ecosystems,"Marten Scheffer, Steve Carpenter, Jonathan A. Foley, Carl Folke & Brian Walker","['literature', 'resilience', 'ecology', 'catastrophe']",[]
52,20200528123654,What is Social-Ecological Resilience ,Stephen Lade,"['literature', 'resilience', 'video', 'gradschool', 'stockholmresilienceinstitute']",['20200330113932']
53,20200330204247,"As Long as Grass Grows: The Indigenous fight for environmental justice, from colonization to Standing Rock",Dina Gilio-Whitaker,"['literature', 'philosophy', 'native', 'environment', 'history']",['20200330113927']
54,20201222220553,"Ecosystem Services: Origins, Pitfalls, Contributions, Alternatives",,[],"['20201222220215', '20201222221106']"
